author,title,year,source
Mohammad H. Fathi and Leyli M. Khanli,consolidating vms in green cloud computing using harmony search algorithm,2018,Proceedings of the 2018 International Conference on Internet and e-Business
Saurav  Nanda and Thomas J. Hacker,racc: resource-aware container consolidation using a deep learning approach,2018,Proceedings of the First Workshop on Machine Learning for Computing Systems
Javier  Prades and Federico  Silla,made-to-measure gpus on virtual machines with rcuda,2018,Proceedings of the 47th International Conference on Parallel Processing Companion
Ki-Dong  Kang and Mohammad  Alian and Daehoon  Kim and Jaehyuk  Huh and Nam Sung Kim,vip: virtual performance-state for efficient power management of virtual machines,2018,Proceedings of the ACM Symposium on Cloud Computing
Haiying  Shen and Liuhua  Chen,compvm: a complementary vm allocation mechanism for cloud systems,2018,
Arijit  Roy and Sudip  Misra and Sayan  Ghosh,qos-aware dynamic caching for destroyed virtual machines in sensor-cloud architecture,2018,Proceedings of the 19th International Conference on Distributed Computing and Networking
Manohar  Vanga and Arpan  Gujarati and Bj&#246;rn B. Brandenburg,tableau: a high-throughput and predictable vm scheduler for high-density workloads,2018,Proceedings of the Thirteenth EuroSys Conference
Rodrigo  Fernandes and Jos&#233;  Sim&#227;o and Lu&#237;s  Veiga,ecovmbroker: energy-aware scheduling for multi-layer datacenters,2018,Proceedings of the 33rd Annual ACM Symposium on Applied Computing
Dinh-Mao  Bui and Eui-Nam  Huh and Sungyoung  Lee,optimizing power consumption in cloud computing based on optimization and predictive analysis,2018,Proceedings of the 12th International Conference on Ubiquitous Information Management and Communication
