author,title,year,source
J. Roque; L. Chauvel; M. Aloqaily; B. Kantarci,a feasibility study on sustainability-driven infrastructure management in cloud data centers,2018,2018 IEEE Canadian Conference on Electrical & Computer Engineering (CCECE)
M. Xu; A. Nadjaran Toosi; R. Buyya,ibrownout: an integrated approach for managing energy and brownout in container-based clouds,2018,IEEE Transactions on Sustainable Computing
N. Yamanaka; S. Okamoto; M. Hirono; Y. Imakiire; W. Muro; T. Sato; E. Oki; A. Fumagalli; M. Veeraraghavan,application-triggered automatic distributed cloud/network resource coordination by optically networked inter/intra data center [invited],2018,IEEE/OSA Journal of Optical Communications and Networking
J. Yao; N. Ansari,qos-aware joint bbu-rrh mapping and user association in cloud-rans,2018,IEEE Transactions on Green Communications and Networking
T. H. Duong-Ba; T. Nguyen; B. Bose; T. T. Tran,a dynamic virtual machine placement and migration scheme for data centers,2018,IEEE Transactions on Services Computing
R. S. Alhumaima; R. K. Ahmed; H. S. Al-Raweshidy,maximizing the energy efficiency of virtualized c-ran via optimizing the number of virtual machines,2018,IEEE Transactions on Green Communications and Networking
N. Sharma; R. M. Guddeti,multi-objective energy efficient virtual machines allocation at the cloud data center,2018,IEEE Transactions on Services Computing
L. Gao; M. Moh,joint computation offloading and prioritized scheduling in mobile edge computing,2018,2018 International Conference on High Performance Computing & Simulation (HPCS)
Y. Laili; F. Tao; F. Wang; L. Zhang; T. Lin,an iterative budget algorithm for dynamic virtual machine consolidation under cloud computing environment (revised december 2017),2018,IEEE Transactions on Services Computing
J. Son; R. Buyya,priority-aware vm allocation and network bandwidth provisioning in software-defined networking (sdn)-enabled clouds,2018,IEEE Transactions on Sustainable Computing
N. Li; H. Jiang; D. Feng; Z. Shi,storage sharing optimization under constraints of slo compliance and performance variability,2018,IEEE Transactions on Services Computing
C. Xu; X. Ma; R. Shea; H. Wang; J. Liu,enhancing performance and energy efficiency for hybrid workloads in virtualized cloud environment,2018,IEEE Transactions on Cloud Computing
S. Wang; A. Zhou; R. Bao; W. Chou; S. S. Yau,towards green service composition approach in the cloud,2018,IEEE Transactions on Services Computing
H. Arif; P. K. Sahoo,threshold scheme approach to balance virtual machines load in private cloud,2018,2018 International Conference on Applied Engineering (ICAE)
M. Daraghmeh; S. B. Melhem; A. Agarwal; N. Goel; M. Zaman,regression-based dynamic provisioning and monitoring for responsive resources in cloud infrastructure networks,2018,2018 IEEE/ACS 15th International Conference on Computer Systems and Applications (AICCSA)
X. Sun; N. Ansari,green cloudlet network: a sustainable platform for mobile cloud computing,2018,IEEE Transactions on Cloud Computing
V. D. Justafort; R. Beaubrun; S. Pierre,on the carbon footprint optimization in an intercloud environment,2018,IEEE Transactions on Cloud Computing
U. u. Rahman; K. Bilal; A. Erbad; O. Khalid; S. U. Khan,nutshell—simulation toolkit for modeling data center networks and cloud computing,2019,IEEE Access
